timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,instore_area,type
28,E10,21,35.12903226,5.516129032,0.154043534,318.3548387,850.6129032,0.374224968,1194,E
28,E11,22,47.67741935,10.09677419,0.20777256,516.0645161,1329.290323,0.389566076,1580,E
28,E12,23,56.25806452,10.41935484,0.190791502,713.2258065,1594.225806,0.450767769,2096,E
28,E13,24,134.2903226,17.09677419,0.131534033,1159.709677,3019.935484,0.385187721,1555,E
28,E14,25,32.41935484,5.806451613,0.184043076,496.8387097,1439,0.346836714,1465,E
28,E16,1,57.4516129,11.06451613,0.193992386,917.2580645,2149.580645,0.431489147,3903,E
28,E17,7,56.16129032,11.5483871,0.20866364,813.9354839,1975.645161,0.417333068,1882,E
28,P01,11,93.51612903,18.96774194,0.202885079,1088.548387,2312.774194,0.477309813,2790,P
28,P02,13,89.80645161,18.87096774,0.213105492,904.1935484,2396.645161,0.381287466,1850,P
28,P03,2,67.51612903,14.61290323,0.215411459,1126.451613,2292.354839,0.49450524,5000,P
28,P04,3,80.32258065,15.96774194,0.1978582,1080.129032,2461.129032,0.441719197,1910,P
28,P05,4,85.48387097,16.74193548,0.199357504,1260.903226,2895.580645,0.439282197,3500,P
28,P06,5,82.90322581,15.58064516,0.191915958,1300.967742,3636.096774,0.363147215,3634,P
28,P07,6,72.16129032,14.70967742,0.207105126,1071.451613,2466.419355,0.437646612,1907,P
28,P08,8,86.5483871,21.03225806,0.241940823,1290.064516,2875.645161,0.453948622,5991,P
28,P09,9,146.3870968,35,0.240772739,1447.548387,3017.774194,0.481400432,4624,P
29,E01,10,33.20689655,4,0.119878291,288.7333333,783.3333333,0.374080451,800,E
29,E02,12,39.75862069,6.103448276,0.146857348,462.9,1088.533333,0.432484039,1375,E
29,E03,14,29.17241379,4.137931034,0.147222619,370.1,941.1,0.401491992,1507,E
29,E04,15,90.36666667,18.6,0.200707999,770.8,1698.066667,0.455638558,2118,E
29,E05,16,18.93103448,3.448275862,0.175289266,256.6666667,673.0333333,0.389923498,1300,E
29,E06,17,42.24137931,7.206896552,0.169349225,474.3666667,1244.133333,0.376932121,1658,E
29,E07,18,25.65517241,3.103448276,0.130976139,297.1666667,771.8666667,0.376913752,1291,E
29,E08,19,49.37931034,8.586206897,0.172888679,641.6,1955.666667,0.433109092,1740,E
29,E09,20,24.89655172,3.482758621,0.143376818,327.4333333,807.3333333,0.42148779,1194,E
29,E10,21,37.20689655,6.206896552,0.161471248,328.2666667,907.5666667,0.403561919,1194,E
29,E11,22,43.96551724,8.551724138,0.201257513,406.4666667,1071.1,0.386346648,1580,E
29,E12,23,58.86206897,9.862068966,0.171999885,604.1666667,1388.433333,0.440241577,2096,E
29,E13,24,137.2413793,15.24137931,0.11354923,979.5333333,2662.433333,0.35780306,1555,E
29,E14,25,28.96551724,4.551724138,0.159884968,400.7333333,1166.2,0.348593433,1465,E
29,E16,1,51.72413793,9.931034483,0.194866427,727.3666667,1681.2,0.443762536,3903,E
29,E17,7,49.96551724,8.827586207,0.178063094,650.9333333,1569.8,0.417481055,1882,E
29,P01,11,83.68965517,14.93103448,0.182177206,912.1,1877.133333,0.495061144,2790,P
29,P02,13,83.89655172,15.27586207,0.187292562,740.7,1933.533333,0.391248991,1850,P
29,P03,2,60.06896552,11.10344828,0.191569853,967,1952.4,0.508135491,5000,P
29,P04,3,73.82758621,13.68965517,0.188585193,882.4666667,1930.1,0.468008395,1910,P
29,P05,4,80.17241379,13.37931034,0.17403063,1061.333333,2432.1,0.471481943,3500,P
